Map point # 1,        174.5455         20.2247 
Map point # 2,        163.6364         20.2247 
Map point # 3,        152.7273         20.2247 
Map point # 4,        141.8182         20.2247 
Map point # 5,        130.9091         20.2247 
Map point # 6,        120.0000         20.2247 
Map point # 7,        109.0909         20.2247 
Map point # 8,        98.18180         20.2247 
Map point # 9,        87.27270         20.2247 
Map point # 10,       76.36360         20.2247 
Map point # 11,       65.45450         20.2247  
Map point # 18,       3.000000         30.2247 
Map point # 19,       11.61290         30.2247 
Map point # 20,       23.22580         30.2247 
Map point # 21,       34.83870         30.2247 
Map point # 22,       46.45160         30.2247 
Map point # 23,       58.06450         30.2247 
Map point # 24,       69.67740         30.2247 
Map point # 25,       81.29030         30.2247 
Map point # 26,       92.90320         30.2247 
Map point # 27,       104.5161         30.2247 
Map point # 28,       116.1290         30.2247 
Map point # 29,       127.7419         30.2247 
Map point # 30,       139.3548         30.2247 
Map point # 31,       150.9677         30.2247 
Map point # 32,       162.5806         30.2247 
Map point # 33,       174.1935         30.2247 
Map point # 34,       173.3333         40.2247 
Map point # 35,       160.0000         40.2247 
Map point # 36,       146.6667         40.2247 
Map point # 37,       133.3333         40.2247 
Map point # 38,       120.0000         40.2247 
Map point # 39,       106.6667         40.2247 
Map point # 40,       93.33330         40.2247 
Map point # 41,       80.00000         40.2247 
Map point # 42,       66.66670         40.2247 
Map point # 43,       53.33330         40.2247 
Map point # 44,       40.00000         40.2247 
Map point # 45,       26.66670         40.2247 
Map point # 46,       13.33330         40.2247 
Map point # 47,       3.000000         40.2247 
Map point # 48,       3.000000         50.2247 
Map point # 49,       15.65220         50.2247 
Map point # 50,       31.30430         50.2247 
Map point # 51,       46.95650         50.2247 
Map point # 52,       62.60870         50.2247 
Map point # 53,       78.26090         50.2247 
Map point # 54,       93.91300         50.2247 
Map point # 55,       109.5652         50.2247 
Map point # 56,       125.2174         50.2247 
Map point # 57,       140.8696         50.2247 
Map point # 58,       156.5217         50.2247 
Map point # 59,       172.1739         50.2247 
Map point # 60,       169.4118         60.2247 
Map point # 61,       148.2353         60.2247 
Map point # 62,       127.0588         60.2247 
Map point # 63,       105.8824         60.2247 
Map point # 64,       84.70590         60.2247 
Map point # 65,       63.52940         60.2247 
Map point # 66,       42.35290         60.2247 
Map point # 67,       21.17650         60.2247 
Map point # 68,       3.000000         60.2247 
Map point # 69,       3.000000         70.2247 
Map point # 70,       30.00000         70.2247 
Map point # 71,       60.00000         70.2247 
Map point # 72,       90.00000         70.2247 
Map point # 73,       120.0000         70.2247 
Map point # 74,       150.0000         70.2247 
Map point # 75,       120.0000         80.2247 
Map point # 76,       60.00000         80.2247 
Map point # 77,       3.000000         80.2247 
Map point # 78,       349.0909         20.2247 
Map point # 79,       338.1818         20.2247 
Map point # 80,       327.2727         20.2247 
Map point # 83,       294.5455         20.2247 
Map point # 84,       283.6364         20.2247 
Map point # 85,       272.7273         20.2247 
Map point # 86,       261.8182         20.2247 
Map point # 87,       250.9091         20.2247 
Map point # 88,       240.0000         20.2247 
Map point # 89,       229.0909         20.2247 
Map point # 90,       218.1818         20.2247 
Map point # 91,       207.2727         20.2247 
Map point # 92,       196.3636         20.2247 
Map point # 93,       185.4545         20.2247 
Map point # 94,       185.8065         30.2247 
Map point # 95,       197.4194         30.2247 
Map point # 96,       209.0323         30.2247 
Map point # 97,       220.6452         30.2247 
Map point # 98,       232.2581         30.2247 
Map point # 99,       243.8710         30.2247 
Map point # 100,      255.4839         30.2247 
Map point # 101,      267.0968         30.2247 
Map point # 102,      278.7097         30.2247 
Map point # 103,      290.3226         30.2247 
Map point # 104,      301.9355         30.2247 
Map point # 105,      313.5484         30.2247 
Map point # 106,      325.1613         30.2247 
Map point # 107,      336.7742         30.2247 
Map point # 108,      348.3871         30.2247 
Map point # 109,      346.6667         40.2247 
Map point # 110,      333.3333         40.2247 
Map point # 111,      320.0000         40.2247 
Map point # 112,      306.6667         40.2247 
Map point # 113,      293.3333         40.2247 
Map point # 114,      280.0000         40.2247 
Map point # 115,      266.6667         40.2247 
Map point # 116,      253.3333         40.2247 
Map point # 117,      240.0000         40.2247 
Map point # 118,      226.6667         40.2247 
Map point # 119,      213.3333         40.2247 
Map point # 120,      200.0000         40.2247 
Map point # 121,      186.6667         40.2247 
Map point # 122,      187.8261         50.2247 
Map point # 123,      203.4783         50.2247 
Map point # 124,      219.1304         50.2247 
Map point # 125,      234.7826         50.2247 
Map point # 126,      250.4348         50.2247 
Map point # 127,      266.0870         50.2247 
Map point # 128,      281.7391         50.2247 
Map point # 129,      297.3913         50.2247 
Map point # 130,      313.0435         50.2247 
Map point # 131,      328.6957         50.2247 
Map point # 132,      344.3478         50.2247 
Map point # 133,      338.8235         60.2247 
Map point # 134,      317.6471         60.2247 
Map point # 135,      296.4706         60.2247 
Map point # 136,      275.2941         60.2247 
Map point # 137,      254.1176         60.2247 
Map point # 138,      232.9412         60.2247 
Map point # 139,      211.7647         60.2247 
Map point # 140,      190.5882         60.2247 
Map point # 141,      183.0000         70.2247 
Map point # 142,      210.0000         70.2247 
Map point # 143,      240.0000         70.2247 
Map point # 144,      270.0000         70.2247 
Map point # 145,      300.0000         70.2247 
Map point # 146,      330.0000         70.2247 
Map point # 147,      300.0000         80.2247 
Map point # 148,      240.0000         80.2247 
Map point # 149,      183.0000         80.2247
