# LocalTime, JulianDay, AmbientC, PrimaryC, SecondaryC, M3C, BackplateC
2019-09-18 16:14:32.0, 2458745.468427, 24.1, -273.0, -273.0, -273.0, -273.0
2019-09-18 16:14:38.6, 2458745.468503, 24.1, 23.3, -273.0, -273.0, 24.6
2019-09-18 16:14:48.7, 2458745.468619, 24.1, 23.3, 26.1, -273.0, 24.6
2019-09-18 16:14:58.6, 2458745.468734, 24.1, 23.3, 26.1, -273.0, 24.7
2019-09-18 16:15:08.6, 2458745.468850, 24.1, 23.3, 26.1, -273.0, 24.7
2019-09-18 16:15:18.6, 2458745.468966, 24.1, 23.3, 26.1, -273.0, 24.7
2019-09-18 16:15:28.7, 2458745.469082, 24.1, 23.3, 26.1, -273.0, 24.7
2019-09-18 16:15:38.6, 2458745.469198, 24.1, 23.3, 26.1, -273.0, 24.7
2019-09-18 16:15:48.6, 2458745.469313, 24.1, 23.3, 26.1, -273.0, 24.7
2019-09-18 16:15:58.6, 2458745.469429, 24.1, 23.3, 26.1, -273.0, 24.7
2019-09-18 16:16:08.6, 2458745.469545, 24.1, 23.3, 26.1, -273.0, 24.7
2019-09-18 16:16:18.6, 2458745.469660, 24.1, 23.3, 26.1, -273.0, 24.6
2019-09-18 16:16:28.6, 2458745.469776, 24.1, 23.3, 26.1, -273.0, 24.7
2019-09-18 16:16:38.6, 2458745.469892, 24.1, 23.3, 26.1, -273.0, 24.7
2019-09-18 16:16:48.6, 2458745.470008, 24.1, 23.3, 26.1, -273.0, 24.7
2019-09-18 16:16:58.6, 2458745.470123, 24.1, 23.3, 26.1, -273.0, 24.7
2019-09-18 16:17:08.6, 2458745.470239, 24.1, 23.3, 26.1, -273.0, 24.6
2019-09-18 16:17:18.6, 2458745.470355, 24.1, 23.3, 26.0, -273.0, 24.6
2019-09-18 16:17:28.6, 2458745.470471, 24.1, 23.3, 26.1, -273.0, 24.6
2019-09-18 16:17:38.6, 2458745.470586, 24.1, 23.3, 26.1, -273.0, 24.6
2019-09-18 16:17:48.6, 2458745.470702, 24.1, 23.3, 26.0, -273.0, 24.6
2019-09-18 16:17:58.6, 2458745.470818, 24.0, 23.3, 26.0, -273.0, 24.6
2019-09-18 16:18:08.6, 2458745.470933, 24.0, 23.3, 26.0, -273.0, 24.6
2019-09-18 16:18:18.6, 2458745.471049, 24.0, 23.3, 26.0, -273.0, 24.6
2019-09-18 16:18:28.6, 2458745.471165, 24.0, 23.3, 26.0, -273.0, 24.6
2019-09-18 16:18:38.6, 2458745.471281, 24.0, 23.3, 26.0, -273.0, 24.6
2019-09-18 16:18:48.6, 2458745.471396, 24.0, 23.3, 26.0, -273.0, 24.6
2019-09-18 16:18:58.6, 2458745.471512, 24.0, 23.3, 26.0, -273.0, 24.6
2019-09-18 16:19:08.6, 2458745.471628, 24.0, 23.3, 26.0, -273.0, 24.6
2019-09-18 16:19:18.6, 2458745.471744, 24.0, 23.3, 26.0, -273.0, 24.6
2019-09-18 16:19:28.6, 2458745.471860, 23.9, 23.3, 26.0, -273.0, 24.6
2019-09-18 16:19:38.6, 2458745.471975, 23.9, 23.3, 26.0, -273.0, 24.6
2019-09-18 16:19:48.6, 2458745.472091, 23.9, 23.3, 25.9, -273.0, 24.6
2019-09-18 16:19:58.6, 2458745.472207, 23.8, 23.3, 26.0, -273.0, 24.6
2019-09-18 16:20:08.6, 2458745.472322, 23.8, 23.3, 25.9, -273.0, 24.6
2019-09-18 16:20:18.6, 2458745.472438, 23.8, 23.3, 25.9, -273.0, 24.6
2019-09-18 16:20:28.6, 2458745.472554, 23.8, 23.3, 25.9, -273.0, 24.6
2019-09-18 16:20:38.6, 2458745.472670, 23.8, 23.3, 25.9, -273.0, 24.6
2019-09-18 16:20:48.6, 2458745.472785, 23.8, 23.3, 25.9, -273.0, 24.6
2019-09-18 16:20:58.6, 2458745.472901, 23.8, 23.3, 25.9, -273.0, 24.6
2019-09-18 16:21:08.6, 2458745.473017, 23.8, 23.3, 25.9, -273.0, 24.6
2019-09-18 16:21:18.6, 2458745.473133, 23.8, 23.3, 25.8, -273.0, 24.6
2019-09-18 16:21:28.6, 2458745.473248, 23.7, 23.3, 25.8, -273.0, 24.6
